,,,,,
% cln1x,Qin (m^3/s),Ta0 (K),z (m),cpoxide (mol/m^3),cpglycol (mol/m^3)
0.23249999999999998,0.003,277,0.23249999999999998,1584.6949086363447,15.305091363655512
0.23249999999999998,0.007,277,0.23249999999999998,1593.2520775174112,6.747922482589127
0.23249999999999998,0.005,288,0.23249999999999998,1590.6431657877422,9.356834212258386
0.23249999999999998,0.005,267,0.23249999999999998,1590.6514422640014,9.348557735998902
0.2475,0.005,277,0.2475,1590.0426516280768,9.957348371923358
0.2475,0.003,277,0.2475,1583.6975520401197,16.302447959880524
0.2475,0.007,277,0.2475,1592.8149705991366,7.185029400863616
0.2475,0.005,288,0.2475,1590.0357972545803,9.964202745419387
0.2475,0.005,267,0.2475,1590.0449500141058,9.955049985894547
0.26249999999999996,0.005,277,0.26249999999999996,1589.4352306712344,10.564769328765884
0.26249999999999996,0.003,277,0.26249999999999996,1582.6986291572844,17.301370842715755
